,close,pe_ttm,nav,Year,percent,percent_pe
2011-06-22,791.513,42.45819854736328,0.8132821225749641,2011,0.1,0.3
2011-06-23,814.444,43.680599212646484,0.8368437979394451,2011,0.2,0.3
2011-06-24,832.324,44.65520095825195,0.855215554754103,2011,0.2,0.3
2011-06-27,843.859,45.2067985534668,0.8670678039071836,2011,0.2,0.3
2011-06-28,844.177,45.21969985961914,0.8673945499176456,2011,0.2,0.3
2011-06-29,836.384,44.78120040893555,0.8593872176549706,2011,0.2,0.3
2011-06-30,845.919,45.2775993347168,0.869184460452944,2011,0.2,0.3
2011-07-01,855.27,46.677101135253906,0.8787926426662475,2011,0.2,0.3
2011-07-04,876.168,47.81639862060547,0.9002654040707622,2011,0.2,0.3
2011-07-05,883.417,48.2224006652832,0.907713774604848,2011,0.2,0.3
2011-07-06,894.277,48.809600830078125,0.9188724591130799,2011,0.2,0.3
2011-07-07,899.798,49.109100341796875,0.9245453041563532,2011,0.2,0.3
2011-07-08,894.909,48.80550003051758,0.9195218411212938,2011,0.2,0.3
2011-07-11,903.31,49.25669860839844,0.9281538953159213,2011,0.2,0.3
2011-07-12,891.516,48.532798767089844,0.9160355228398543,2011,0.2,0.3
2011-07-13,913.085,49.705299377441406,0.9381977388765076,2011,0.2,0.3
2011-07-14,932.775,50.67470169067383,0.9584292764425374,2011,0.2,0.3
2011-07-15,951.138,51.686500549316406,0.9772973172919538,2011,0.2,0.3
2011-07-18,946.118,51.46030044555664,0.9721392513406348,2011,0.2,0.3
2011-07-19,927.297,50.369998931884766,0.952800614035899,2011,0.2,0.3
2011-07-20,930.828,50.50859832763672,0.9564287277558406,2011,0.2,0.3
2011-07-21,915.368,49.639198303222656,0.9405435286308624,2011,0.2,0.3
2011-07-22,923.995,49.805599212646484,0.949407798543617,2011,0.2,0.3
2011-07-25,887.063,47.805599212646484,0.9114600511902083,2011,0.2,0.3
2011-07-26,892.54,48.432098388671875,0.9170876860936693,2011,0.2,0.3
2011-07-27,915.548,49.606201171875,0.940728479202822,2011,0.2,0.3
2011-07-28,919.395,49.512901306152344,0.9446812839268706,2011,0.2,0.3
2011-07-29,913.278,48.41680145263672,0.9383960469897754,2011,0.2,0.3
2011-08-01,927.384,49.18920135498047,0.9528900068123461,2011,0.2,0.3
2011-08-02,932.121,49.55459976196289,0.9577572893644174,2011,0.2,0.3
2011-08-03,945.509,50.2406005859375,0.9715135019055047,2011,0.2,0.3
2011-08-04,937.475,49.81520080566406,0.9632585413770393,2011,0.2,0.3
2011-08-05,919.185,48.81890106201172,0.9444655082595843,2011,0.2,0.3
2011-08-08,877.443,46.53770065307617,0.9015754706221429,2011,0.2,0.3
2011-08-09,878.761,46.27180099487305,0.9029297198101586,2011,0.2,0.3
2011-08-10,891.752,46.899898529052734,0.916278013589757,2011,0.2,0.3
2011-08-11,915.489,47.963600158691406,0.9406678565153463,2011,0.2,0.3
2011-08-12,926.297,48.38240051269531,0.9517731108583454,2011,0.2,0.3
2011-08-15,942.485,49.20100021362305,0.9684063322965827,2011,0.2,0.3
2011-08-16,933.139,48.59700012207031,0.958803287599167,2011,0.2,0.3
2011-08-17,936.159,48.6150016784668,0.9619063471953787,2011,0.2,0.3
2011-08-18,915.684,47.55379867553711,0.9408682196349692,2011,0.2,0.3
2011-08-19,912.421,47.240699768066406,0.937515476766612,2011,0.2,0.3
2011-08-22,910.606,47.16510009765625,0.9356505584993522,2011,0.2,0.3
2011-08-23,936.416,48.510799407958984,0.9621704155120101,2011,0.2,0.3
2011-08-24,940.196,48.582401275634766,0.9660543775231626,2011,0.2,0.3
2011-08-25,942.944,48.760799407958984,0.9688779562550798,2011,0.2,0.3
2011-08-26,952.806,49.276798248291016,0.9790111925921132,2011,0.2,0.3
2011-08-29,954.029,49.24380111694336,0.9802678289782611,2011,0.2,0.3
2011-08-30,934.185,48.20090103149414,0.9598780559228879,2011,0.2,0.3
2011-08-31,921.495,47.59400177001953,0.9468390405997331,2011,0.2,0.3
2011-09-01,917.751,47.42829895019531,0.9429920687029725,2011,0.2,0.3
2011-09-02,909.853,47.04719924926758,0.9348768486066543,2011,0.2,0.3
2011-09-05,883.873,45.672698974609375,0.9081823160538125,2011,0.2,0.3
2011-09-06,874.738,45.20800018310547,0.8987960745268606,2011,0.2,0.3
2011-09-07,899.614,46.4995002746582,0.9243562435716833,2011,0.2,0.3
2011-09-08,891.932,46.132598876953125,0.9164629641617167,2011,0.2,0.3
2011-09-09,881.577,45.59120178222656,0.9058231687581494,2011,0.2,0.3
2011-09-13,861.916,44.57830047607422,0.8856214287842686,2011,0.2,0.3
2011-09-14,876.949,45.33369827270508,0.9010678840524314,2011,0.2,0.3
2011-09-15,875.861,45.27470016479492,0.8999499605952532,2011,0.2,0.3
2011-09-16,874.883,45.24580001831055,0.8989450624876059,2011,0.2,0.3
2011-09-19,854.712,44.1796989440918,0.8782192958931726,2011,0.2,0.3
2011-09-20,856.812,44.298500061035156,0.8803770525660352,2011,0.2,0.3
2011-09-21,881.031,45.52239990234375,0.9052621520232051,2011,0.2,0.3
2011-09-22,852.92,44.057899475097656,0.8763780101989965,2011,0.2,0.3
2011-09-23,843.479,43.5723991394043,0.8666773526997134,2011,0.2,0.3
2011-09-26,829.347,42.86589813232422,0.8521566777945261,2011,0.2,0.3
2011-09-27,830.884,42.94110107421875,0.853735950178426,2011,0.2,0.3
2011-09-28,817.515,42.2677001953125,0.8399992601977122,2011,0.2,0.3
2011-09-29,791.894,40.9452018737793,0.8136736012856121,2011,0.1,0.2
2011-09-30,791.134,40.9375,0.8128926988706713,2011,0.1,0.2
2011-10-10,790.042,40.616798400878906,0.8117706654007828,2011,0.1,0.2
2011-10-11,786.151,40.377498626708984,0.8077726505369218,2011,0.1,0.2
2011-10-12,816.138,41.9031982421875,0.8385843883222209,2011,0.2,0.3
2011-10-13,833.021,42.71820068359375,0.8559317244688579,2011,0.2,0.3
2011-10-14,830.197,42.58100128173828,0.8530300554954466,2011,0.2,0.3
2011-10-17,832.289,42.65330123901367,0.8551795921428887,2011,0.2,0.3
2011-10-18,806.6,41.237300872802734,0.828784063014715,2011,0.2,0.2
2011-10-19,804.436,41.11330032348633,0.8265605461384891,2011,0.2,0.2
2011-10-20,778.954,39.59579849243164,0.8003777101680687,2011,0.1,0.2
2011-10-21,763.295,38.70909881591797,0.7842880379107572,2011,0.1,0.2
2011-10-24,772.41,39.317501068115234,0.7936537293741581,2011,0.1,0.2
2011-10-25,797.858,40.08689880371094,0.8198016302365415,2011,0.2,0.2
2011-10-26,811.134,41.25299835205078,0.8334427624217429,2011,0.2,0.2
2011-10-27,810.922,41.12900161743164,0.8332249317481015,2011,0.2,0.2
2011-10-28,833.423,42.24580001831055,0.8563447807462345,2011,0.2,0.3
2011-10-31,852.798,43.16450119018555,0.8762526548113351,2011,0.2,0.3
2011-11-01,853.359,43.227500915527344,0.8768290840939427,2011,0.2,0.3
2011-11-02,881.047,44.589698791503906,0.905278592074046,2011,0.2,0.3
2011-11-03,877.658,44.41889953613281,0.901796383805317,2011,0.2,0.3
2011-11-04,882.253,44.671199798583984,0.9065177609061756,2011,0.2,0.3
2011-11-07,878.758,44.482601165771484,0.902926637300626,2011,0.2,0.3
2011-11-08,862.36,43.669498443603516,0.8860776401951024,2011,0.2,0.3
2011-11-09,891.123,45.042701721191406,0.9156317140910759,2011,0.2,0.3
2011-11-10,895.272,45.309200286865234,0.9198948247747457,2011,0.2,0.3
2011-11-11,891.193,45.10810089111328,0.9157036393135046,2011,0.2,0.3
2011-11-14,915.977,46.3656005859375,0.9411692780659925,2011,0.2,0.3
