group_percent,number,date,close,pe_ttm,nav,year,percent,percent_pe,group_percent,group_pe,maxdd,maxl,maxdd_group_360,maxl_group_360
71,1331,2015-11-26,2833.198,74.44029998779297,2.9111199476384377,2015,0.7,0.5,71,102,0.5756710560972896,0.5746744844518455,0.37626344612324875,0.3747985492012912
72,1345,2015-12-16,2763.114,72.74700164794922,2.839108414942773,2015,0.6,0.5,72,104,0.5756710560972896,0.5638864701203062,0.39134574618677326,0.37444202446949354
73,1349,2015-12-22,2839.8520000000003,74.8052978515625,2.9179569537818795,2015,0.7,0.5,73,104,0.5756710560972896,0.5756710560972896,0.39134574618677326,0.39134574618677326
74,1350,2015-12-23,2783.942,73.43679809570312,2.8605092511248587,2015,0.6,0.5,74,104,0.5689820372132285,0.5671492437701647,0.3817510676805758,0.3791221225154835
75,1352,2015-12-25,2794.73,73.73300170898438,2.8715939554043066,2015,0.7,0.5,75,104,0.568820100689512,0.568820100689512,0.3815187871458066,0.3815187871458066
76,1359,2016-01-06,2468.366,67.11150360107422,2.536253908365212,2016,0.6,0.4,76,105,0.5118100800286505,0.5118100800286505,0.2997440411997249,0.2997440411997249
77,1374,2016-01-27,1997.465,54.85979843139648,2.052401634552055,2016,0.5,0.3,77,106,0.48157179892909713,0.3967196421464205,0.287369826285905,0.17073225313084336
78,1375,2016-01-28,1906.461,52.54399871826172,1.9588947353819688,2016,0.4,0.3,78,106,0.48157179892909713,0.36792234407103,0.287369826285905,0.13114755560171443
79,1391,2016-02-26,2014.92,53.51010131835938,2.0703367025162533,2016,0.5,0.3,79,108,0.48157179892909713,0.40194578444801776,0.287369826285905,0.17791609592440402
80,1393,2016-03-01,1934.9189999999999,50.0895004272461,1.9881354208087887,2016,0.4,0.3,80,108,0.48157179892909713,0.37721868460643565,0.287369826285905,0.14392628321909082
81,1395,2016-03-03,2007.076,51.70709991455078,2.0622769675915222,2016,0.5,0.3,81,108,0.48157179892909713,0.39960848517943515,0.287369826285905,0.17470324990184732
82,1397,2016-03-07,1953.332,50.69850158691406,2.007054836817083,2016,0.4,0.3,82,108,0.48157179892909713,0.38308930586300743,0.287369826285905,0.15199602525325964
83,1398,2016-03-08,2002.191,51.72380065917969,2.057257614569173,2016,0.5,0.3,83,108,0.48157179892909713,0.39814363364933714,0.287369826285905,0.17268966846819314
84,1401,2016-03-11,1934.87,50.07419967651367,1.9880850731530888,2016,0.4,0.3,84,108,0.48157179892909713,0.3772029128571945,0.287369826285905,0.1439046034100482
